state,district,year,residualsodiumcarbonate,gdp_Andaman And Nicobar Islands,gdp_Andhra Pradesh,gdp_Arunachal Pradesh,gdp_Assam,gdp_Bihar,gdp_Chandigarh,gdp_Chhattisgarh,gdp_Delhi,gdp_Goa,gdp_Gujarat,gdp_Haryana,gdp_Himachal Pradesh,gdp_Jammu And Kashmir,gdp_Jharkhand,gdp_Karnataka,gdp_Kerala,gdp_Madhya Pradesh,gdp_Maharashtra,gdp_Meghalaya,gdp_Nagaland,gdp_Odisha,gdp_Pondicherry,gdp_Punjab,gdp_Rajasthan,gdp_Telangana,gdp_Tripura,gdp_Uttar Pradesh,gdp_Uttarakhand,gdp_West Bengal
Telangana,Warangal Rural,2014,1.6719999,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
Telangana,Warangal Rural,2015,-44.040001,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
Telangana,Warangal Rural,2017,-24.32,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
Telangana,Warangal Rural,2018,2.4849999,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Telangana,Warangal Urban,2014,-13.525001,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
Telangana,Warangal Urban,2015,-4.79,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
Telangana,Warangal Urban,2017,-4.3699999,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
Telangana,Warangal Urban,2018,-7.7142854,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Telangana,Yadadri Bhuvanagiri,2014,-10.044,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
Telangana,Yadadri Bhuvanagiri,2015,-1.1228571,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
Telangana,Yadadri Bhuvanagiri,2017,-8.3274994,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
Telangana,Yadadri Bhuvanagiri,2018,-9.2725,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2000,1.0339438,1247.388396,171092.868,4732.599093,76319.46293,110614.8384,7198.312771,60612.54156,126215.9735,13778.24362,187486.13,108123.1615,29339.77702,37710.45956,65731.28053,276258.3865,147974.0131,142623.6374,462181.6751,8197.00221,4584.308822,98181.55447,7081.521016,130869.8139,174260.9951,,7101.884842,351084.109,30799.75717,247972.2633
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2004,1.21,1619.520972,215454.7027,6543.768006,91168.98276,123786.1185,10773.89022,85009.82105,164908.8821,17958.36519,272449.3578,147482.6165,37777.56238,44761.01757,90933.65389,332758.3434,194267.4934,166392.1069,599027.635,10228.28739,6158.475154,133986.5968,7499.34147,150374.3301,219623.1495,161790.0416,9868.02291,407921.492,43080.98287,310686.6401
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2006,1.0599999,2012.727137,251347.1421,7098.091516,98155.9187,141591.8829,13718.04899,102834.7539,204478.7109,21365.08632,338383.4784,179089.4676,44249.15254,49569.35538,88314.32616,405152.1453,231069.2216,190707.9784,780279.6914,11859.02165,7331.007948,157355.6063,9855.548955,174759.67,261962.6382,208478.0616,11424.19791,466023.3283,55116.29837,356170.7914
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2007,0.02,2219.654041,282692.2057,7949.949532,102351.887,148922.2741,14730.12347,111148.2042,227528.5812,22295.42407,378395.6474,193107.6942,46999.74712,52630.63968,107985.9699,455993.4846,251692.2406,199720.2561,871095.9484,12232.10271,7927.026424,170849.5885,10634.72318,189894.1595,273898.8027,229693.219,12178.10965,495889.8633,64750.72074,383881.2013
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2008,1.0,2557.824773,289918.0575,8603.642793,108448.3451,171625.4705,15838.25499,118439.1841,255870.0905,24046.9089,394570.3758,207976.1043,49294.6021,55926.46375,103643.836,488433.5425,267167.5889,224970.9801,884778.7477,13804.08389,8430.624493,183688.6257,11610.37096,200421.2722,296930.5963,260994.8059,13463.40499,533571.8096,71643.14296,399354.6414
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2009,0.34,2887.270275,309549.0583,9317.62297,118440.3321,179834.9466,16659.46124,121728.8046,276906.2527,26318.13559,450323.9227,233961.2316,51967.44709,58635.16896,113916.5553,488554.9251,291324.5256,246296.5722,970265.197,14691.29258,8908.027694,185167.8379,13703.21806,213223.6778,314237.3713,261702.8578,14841.59855,566760.9861,83903.43408,430366.1837
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2012,1.8,3557.523694,341335.2232,10398.77,132517.6,236932.5512,18305.19436,148760.304,334193.2963,32452.85048,596658.8337,289756.2205,64518.52068,67315.56271,149526.29,593192.0329,348615.8055,306853.34,1189710.84,18322.88537,11163.01629,216301.0722,15507.37,251812.5938,409802.4908,334204.72,18857.21,673552.1893,109528.4945,492901.1664
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2014,-5.4888887,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2015,-1.2,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2016,-0.78499997,5090.617065,477565.5526,13396.43,179631.8965,289264.8743,23842.40014,187540.52,461592.3775,46370.67971,843930.3359,412054.6147,88112.12233,82635.73144,176363.12,851393.9915,443615.3007,419465.25,1596120.748,19294.85847,13487.89379,293348.2482,18283.79116,315782.9924,529650.3845,455731.09,27203.6,888453.008,150302.9427,584910.8273
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2017,7.6458225,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2018,-5.268641,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
The Dadra And Nagar Haveli And Daman And Diu,Daman,2000,1.8177308,1247.388396,171092.868,4732.599093,76319.46293,110614.8384,7198.312771,60612.54156,126215.9735,13778.24362,187486.13,108123.1615,29339.77702,37710.45956,65731.28053,276258.3865,147974.0131,142623.6374,462181.6751,8197.00221,4584.308822,98181.55447,7081.521016,130869.8139,174260.9951,,7101.884842,351084.109,30799.75717,247972.2633
The Dadra And Nagar Haveli And Daman And Diu,Daman,2002,0.40000001,1411.12673,182922.1476,5227.35743,83032.67367,117457.1421,8816.838408,67927.66145,141114.476,15182.91041,220397.2333,123614.6773,32337.46951,40393.03159,72227.24588,296352.7164,166735.0923,144856.4718,511507.164,9004.246436,5619.233061,103410.2357,8311.413017,134832.8664,170786.1681,,8615.011416,369038.1837,35281.90272,275199.4806
The Dadra And Nagar Haveli And Daman And Diu,Daman,2004,2.8399999,1619.520972,215454.7027,6543.768006,91168.98276,123786.1185,10773.89022,85009.82105,164908.8821,17958.36519,272449.3578,147482.6165,37777.56238,44761.01757,90933.65389,332758.3434,194267.4934,166392.1069,599027.635,10228.28739,6158.475154,133986.5968,7499.34147,150374.3301,219623.1495,161790.0416,9868.02291,407921.492,43080.98287,310686.6401
The Dadra And Nagar Haveli And Daman And Diu,Daman,2005,4.0,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
The Dadra And Nagar Haveli And Daman And Diu,Daman,2007,2.78,2219.654041,282692.2057,7949.949532,102351.887,148922.2741,14730.12347,111148.2042,227528.5812,22295.42407,378395.6474,193107.6942,46999.74712,52630.63968,107985.9699,455993.4846,251692.2406,199720.2561,871095.9484,12232.10271,7927.026424,170849.5885,10634.72318,189894.1595,273898.8027,229693.219,12178.10965,495889.8633,64750.72074,383881.2013
The Dadra And Nagar Haveli And Daman And Diu,Daman,2008,2.3800001,2557.824773,289918.0575,8603.642793,108448.3451,171625.4705,15838.25499,118439.1841,255870.0905,24046.9089,394570.3758,207976.1043,49294.6021,55926.46375,103643.836,488433.5425,267167.5889,224970.9801,884778.7477,13804.08389,8430.624493,183688.6257,11610.37096,200421.2722,296930.5963,260994.8059,13463.40499,533571.8096,71643.14296,399354.6414
The Dadra And Nagar Haveli And Daman And Diu,Daman,2009,1.39,2887.270275,309549.0583,9317.62297,118440.3321,179834.9466,16659.46124,121728.8046,276906.2527,26318.13559,450323.9227,233961.2316,51967.44709,58635.16896,113916.5553,488554.9251,291324.5256,246296.5722,970265.197,14691.29258,8908.027694,185167.8379,13703.21806,213223.6778,314237.3713,261702.8578,14841.59855,566760.9861,83903.43408,430366.1837
The Dadra And Nagar Haveli And Daman And Diu,Daman,2010,5.3899999,3138.75895,330209.0565,9720.172067,124268.4082,207295.1926,16655.58215,133464.9165,299873.9628,31500.30626,499605.604,249823.4553,56319.52394,61986.66288,130488.9544,538790.6955,309969.0947,259230.1691,1080814.588,16143.05856,9754.567268,196839.6779,14619.81649,226995.4769,361435.8555,307974.0313,15962.03005,612018.7068,92717.08884,456461.661
The Dadra And Nagar Haveli And Daman And Diu,Daman,2011,4.316,3403.621748,339995.5242,10229.46,129354.12,228497.4445,16929.97824,142273.4161,314650.0213,38008.54649,532809.4587,271152.4807,60536.24981,65319.12793,137383.47,554952.2023,328021.1229,282371.04,1126594.698,18028.02838,10554.27187,204225.9496,15159.56,239226.9521,395330.9317,325139.34,17419.05,645131.5532,101959.6257,473204.6511
The Dadra And Nagar Haveli And Daman And Diu,Daman,2012,7.96,3557.523694,341335.2232,10398.77,132517.6,236932.5512,18305.19436,148760.304,334193.2963,32452.85048,596658.8337,289756.2205,64518.52068,67315.56271,149526.29,593192.0329,348615.8055,306853.34,1189710.84,18322.88537,11163.01629,216301.0722,15507.37,251812.5938,409802.4908,334204.72,18857.21,673552.1893,109528.4945,492901.1664
The Dadra And Nagar Haveli And Daman And Diu,Daman,2013,1.12,3811.152063,360239.2258,11226.44,138724.76,246914.742,19813.4545,163494.3264,356527.5126,27971.10229,641488.8106,314931.1968,69398.15515,70535.8264,150609.33,646786.9485,364706.7731,322597.6,1267551.27,18396.55072,11923.17526,233121.874,17238.51,267515.21,434292.2193,349592.66,20623.06,707469.1041,117777.5084,503951.5671
The Dadra And Nagar Haveli And Daman And Diu,Daman,2014,-1.53,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
The Dadra And Nagar Haveli And Daman And Diu,Daman,2015,2.4960001,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
The Dadra And Nagar Haveli And Daman And Diu,Daman,2017,3.0399203,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
The Dadra And Nagar Haveli And Daman And Diu,Daman,2018,-3.9920001,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
The Dadra And Nagar Haveli And Daman And Diu,Diu,2002,7.5999999,1411.12673,182922.1476,5227.35743,83032.67367,117457.1421,8816.838408,67927.66145,141114.476,15182.91041,220397.2333,123614.6773,32337.46951,40393.03159,72227.24588,296352.7164,166735.0923,144856.4718,511507.164,9004.246436,5619.233061,103410.2357,8311.413017,134832.8664,170786.1681,,8615.011416,369038.1837,35281.90272,275199.4806
The Dadra And Nagar Haveli And Daman And Diu,Diu,2006,12.38,2012.727137,251347.1421,7098.091516,98155.9187,141591.8829,13718.04899,102834.7539,204478.7109,21365.08632,338383.4784,179089.4676,44249.15254,49569.35538,88314.32616,405152.1453,231069.2216,190707.9784,780279.6914,11859.02165,7331.007948,157355.6063,9855.548955,174759.67,261962.6382,208478.0616,11424.19791,466023.3283,55116.29837,356170.7914
The Dadra And Nagar Haveli And Daman And Diu,Diu,2007,11.66,2219.654041,282692.2057,7949.949532,102351.887,148922.2741,14730.12347,111148.2042,227528.5812,22295.42407,378395.6474,193107.6942,46999.74712,52630.63968,107985.9699,455993.4846,251692.2406,199720.2561,871095.9484,12232.10271,7927.026424,170849.5885,10634.72318,189894.1595,273898.8027,229693.219,12178.10965,495889.8633,64750.72074,383881.2013
The Dadra And Nagar Haveli And Daman And Diu,Diu,2008,1.76,2557.824773,289918.0575,8603.642793,108448.3451,171625.4705,15838.25499,118439.1841,255870.0905,24046.9089,394570.3758,207976.1043,49294.6021,55926.46375,103643.836,488433.5425,267167.5889,224970.9801,884778.7477,13804.08389,8430.624493,183688.6257,11610.37096,200421.2722,296930.5963,260994.8059,13463.40499,533571.8096,71643.14296,399354.6414
The Dadra And Nagar Haveli And Daman And Diu,Diu,2009,4.0799999,2887.270275,309549.0583,9317.62297,118440.3321,179834.9466,16659.46124,121728.8046,276906.2527,26318.13559,450323.9227,233961.2316,51967.44709,58635.16896,113916.5553,488554.9251,291324.5256,246296.5722,970265.197,14691.29258,8908.027694,185167.8379,13703.21806,213223.6778,314237.3713,261702.8578,14841.59855,566760.9861,83903.43408,430366.1837
The Dadra And Nagar Haveli And Daman And Diu,Diu,2010,6.8200002,3138.75895,330209.0565,9720.172067,124268.4082,207295.1926,16655.58215,133464.9165,299873.9628,31500.30626,499605.604,249823.4553,56319.52394,61986.66288,130488.9544,538790.6955,309969.0947,259230.1691,1080814.588,16143.05856,9754.567268,196839.6779,14619.81649,226995.4769,361435.8555,307974.0313,15962.03005,612018.7068,92717.08884,456461.661
The Dadra And Nagar Haveli And Daman And Diu,Diu,2011,2.1600001,3403.621748,339995.5242,10229.46,129354.12,228497.4445,16929.97824,142273.4161,314650.0213,38008.54649,532809.4587,271152.4807,60536.24981,65319.12793,137383.47,554952.2023,328021.1229,282371.04,1126594.698,18028.02838,10554.27187,204225.9496,15159.56,239226.9521,395330.9317,325139.34,17419.05,645131.5532,101959.6257,473204.6511
The Dadra And Nagar Haveli And Daman And Diu,Diu,2012,3.6400001,3557.523694,341335.2232,10398.77,132517.6,236932.5512,18305.19436,148760.304,334193.2963,32452.85048,596658.8337,289756.2205,64518.52068,67315.56271,149526.29,593192.0329,348615.8055,306853.34,1189710.84,18322.88537,11163.01629,216301.0722,15507.37,251812.5938,409802.4908,334204.72,18857.21,673552.1893,109528.4945,492901.1664
The Dadra And Nagar Haveli And Daman And Diu,Diu,2014,8.8000002,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
The Dadra And Nagar Haveli And Daman And Diu,Diu,2015,-41.389999,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
The Dadra And Nagar Haveli And Daman And Diu,Diu,2017,-83.624847,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
The Dadra And Nagar Haveli And Daman And Diu,Diu,2018,-220.60995,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Tripura,Dhalai,2005,0.2,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
Tripura,Dhalai,2006,0.60000002,2012.727137,251347.1421,7098.091516,98155.9187,141591.8829,13718.04899,102834.7539,204478.7109,21365.08632,338383.4784,179089.4676,44249.15254,49569.35538,88314.32616,405152.1453,231069.2216,190707.9784,780279.6914,11859.02165,7331.007948,157355.6063,9855.548955,174759.67,261962.6382,208478.0616,11424.19791,466023.3283,55116.29837,356170.7914
Tripura,Dhalai,2009,1.88,2887.270275,309549.0583,9317.62297,118440.3321,179834.9466,16659.46124,121728.8046,276906.2527,26318.13559,450323.9227,233961.2316,51967.44709,58635.16896,113916.5553,488554.9251,291324.5256,246296.5722,970265.197,14691.29258,8908.027694,185167.8379,13703.21806,213223.6778,314237.3713,261702.8578,14841.59855,566760.9861,83903.43408,430366.1837
Tripura,Dhalai,2010,1.14,3138.75895,330209.0565,9720.172067,124268.4082,207295.1926,16655.58215,133464.9165,299873.9628,31500.30626,499605.604,249823.4553,56319.52394,61986.66288,130488.9544,538790.6955,309969.0947,259230.1691,1080814.588,16143.05856,9754.567268,196839.6779,14619.81649,226995.4769,361435.8555,307974.0313,15962.03005,612018.7068,92717.08884,456461.661
Tripura,Dhalai,2011,1.4300001,3403.621748,339995.5242,10229.46,129354.12,228497.4445,16929.97824,142273.4161,314650.0213,38008.54649,532809.4587,271152.4807,60536.24981,65319.12793,137383.47,554952.2023,328021.1229,282371.04,1126594.698,18028.02838,10554.27187,204225.9496,15159.56,239226.9521,395330.9317,325139.34,17419.05,645131.5532,101959.6257,473204.6511
Tripura,Dhalai,2013,1.12,3811.152063,360239.2258,11226.44,138724.76,246914.742,19813.4545,163494.3264,356527.5126,27971.10229,641488.8106,314931.1968,69398.15515,70535.8264,150609.33,646786.9485,364706.7731,322597.6,1267551.27,18396.55072,11923.17526,233121.874,17238.51,267515.21,434292.2193,349592.66,20623.06,707469.1041,117777.5084,503951.5671
Tripura,Dhalai,2014,-0.95999998,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
Tripura,Dhalai,2015,0.53000003,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
Tripura,Dhalai,2017,-0.19449399,5749.685598,526625.9555,13922.63,195262.2821,312605.1365,25289.46,194073.22,487631.1457,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,1661065.007,19963.68498,14177.79499,316191.8905,20024.15779,335056.7857,557618.207,498145.46,29505.18,922457.5125,162204.7861,623786.822
Tripura,Dhalai,2018,-0.30830708,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Tripura,North Tripura,2005,0.60000002,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
Tripura,North Tripura,2006,2.0,2012.727137,251347.1421,7098.091516,98155.9187,141591.8829,13718.04899,102834.7539,204478.7109,21365.08632,338383.4784,179089.4676,44249.15254,49569.35538,88314.32616,405152.1453,231069.2216,190707.9784,780279.6914,11859.02165,7331.007948,157355.6063,9855.548955,174759.67,261962.6382,208478.0616,11424.19791,466023.3283,55116.29837,356170.7914
Tripura,North Tripura,2009,0.5,2887.270275,309549.0583,9317.62297,118440.3321,179834.9466,16659.46124,121728.8046,276906.2527,26318.13559,450323.9227,233961.2316,51967.44709,58635.16896,113916.5553,488554.9251,291324.5256,246296.5722,970265.197,14691.29258,8908.027694,185167.8379,13703.21806,213223.6778,314237.3713,261702.8578,14841.59855,566760.9861,83903.43408,430366.1837
Tripura,North Tripura,2010,0.47,3138.75895,330209.0565,9720.172067,124268.4082,207295.1926,16655.58215,133464.9165,299873.9628,31500.30626,499605.604,249823.4553,56319.52394,61986.66288,130488.9544,538790.6955,309969.0947,259230.1691,1080814.588,16143.05856,9754.567268,196839.6779,14619.81649,226995.4769,361435.8555,307974.0313,15962.03005,612018.7068,92717.08884,456461.661
Tripura,North Tripura,2013,0.44999999,3811.152063,360239.2258,11226.44,138724.76,246914.742,19813.4545,163494.3264,356527.5126,27971.10229,641488.8106,314931.1968,69398.15515,70535.8264,150609.33,646786.9485,364706.7731,322597.6,1267551.27,18396.55072,11923.17526,233121.874,17238.51,267515.21,434292.2193,349592.66,20623.06,707469.1041,117777.5084,503951.5671
Tripura,North Tripura,2014,-0.11666667,4151.069428,397063.8325,13081.6,146425.387,255738.8122,20353.08549,165354.2083,387638.7395,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568.0,671283.498,382134.2555,339246.9,1345341.463,17892.85396,12406.40914,235930.7377,16054.68247,278484.6,465407.7311,372896.74,24406.6,729686.3008,125701.6631,515701.6029
Tripura,North Tripura,2015,0.7766667,4483.208993,446996.86,12889.06,167628.666,269199.6011,22058.15927,168878.88,431729.586,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,1452513.395,18330.23697,12599.69864,253191.6726,17024.66497,294894.8566,501921.5114,416892.3724,23745.31,792048.7594,136143.5115,546988.0509
